podyezd,distance_to_metro_m
249,2238.9219277937236
250,2262.4333658163578
251,2273.617949527948
252,2216.4654433830065
253,2186.251698284006
254,2387.358386227163
255,2709.002845676504
256,2574.843781919213
257,2714.0734307363623
258,2452.491479426869
259,2501.394375573154
260,2248.1449008271834
261,2273.7356328636383
262,2341.8400172791867
263,2348.407677931575
264,2289.960505611996
265,2304.3518309574783
266,2632.704347029198
267,2535.243471008823
268,2442.7595805741853
269,2098.950823371435
270,2623.599390862385
271,2761.311895022593
272,2375.4083083978376
273,2545.1145564640246
274,2655.357639977865
275,2645.1878526799974
276,2594.099558096221
277,2617.2342456964934
278,2639.152786951555
279,2543.069093087335
280,2484.270028495307
281,2117.0707368402423
282,2091.7900091786505
283,2140.2328596054886
284,2164.0352609845104
285,2182.2621570315305
286,2737.015035288228
287,2719.4406976008977
288,2466.420595710393
289,2440.082755938436
290,2547.2109728464393
291,2472.3152923201487
292,2422.089321262343
293,2497.0628038300083
294,2522.9489504860585
295,2559.2990776526867
296,2803.8799757337133
297,2720.8242022715935
298,2672.2659831664882
299,2400.30300994076
300,2423.656278727591
301,2850.690577644917
302,2724.705171560076
303,2751.6618418910584
304,2678.789643893237
305,2699.217267237911
306,2672.0052058948486
307,2602.7046239540377
308,2232.1663196656687
309,2800.505189796793
310,2772.959440871879
311,2581.811345298016
312,2536.3543031162217
313,2541.9708033326533
314,2668.891720474979
315,2128.0181340824315
316,2219.6166945350055
317,2236.0267261516315
318,2744.7088542650304
319,2758.172152115432
320,2717.987789390503
321,2655.6375373568126
322,2674.328333757946
323,2661.231584110101
324,2636.7499325590697
325,2721.2022081274304
326,2686.9435379326314
327,2697.050042704731
328,2639.456271126019
329,2682.54386170676
330,2083.1105419532028
331,2235.892694300726
332,2304.5059059580517
333,2357.864912740861
334,2419.2676834528165
335,2454.2850126971916
336,2372.51926116671
337,2357.4801278181153
338,2332.695651592471
339,2273.3443074539923
340,2224.412837015395
341,2253.3798594149216
342,2229.9410175522526
343,2263.4253544875523
344,2207.8256450850654
345,2174.8034262092747
346,2147.248027016588
347,2116.4381538944726
348,2089.2084442964424
