entrance_id,rank,stop_id,walk_dist_m,weight_logit,weight_inv,reachable
101,1,11,151.8,0.444,0.4656,True
101,2,52,222.7,0.3343,0.3173,True
101,3,51,325.5,0.2216,0.2171,True
102,1,11,118.9,0.444,0.4919,True
102,2,52,189.7,0.3344,0.3082,True
102,3,51,292.6,0.2216,0.1998,True
103,1,11,201.6,0.399,0.4031,True
103,2,52,262.9,0.3122,0.3091,True
103,3,33,282.3,0.2889,0.2878,True
104,1,11,232.2,0.3629,0.362,True
104,2,33,239.0,0.3532,0.3517,True
104,3,52,293.6,0.2839,0.2863,True
105,1,16,145.5,0.4553,0.4673,True
105,2,17,184.2,0.3899,0.369,True
105,3,21,415.2,0.1548,0.1637,True
106,1,16,262.9,0.4192,0.4009,True
106,2,17,301.7,0.3589,0.3493,True
106,3,21,422.0,0.2218,0.2498,True
107,1,16,285.1,0.4039,0.3869,True
107,2,17,323.9,0.3458,0.3405,True
107,3,21,404.8,0.2503,0.2725,True
108,1,16,299.4,0.3791,0.3684,True
108,2,17,338.1,0.3247,0.3262,True
108,3,21,361.1,0.2962,0.3054,True
109,1,16,248.3,0.3973,0.389,True
109,2,17,287.0,0.3402,0.3365,True
109,3,21,351.8,0.2625,0.2745,True
110,1,16,226.0,0.4087,0.4023,True
110,2,17,264.8,0.35,0.3435,True
110,3,21,357.7,0.2413,0.2542,True
111,1,16,201.8,0.4278,0.4231,True
111,2,17,240.5,0.3664,0.355,True
111,3,21,384.8,0.2057,0.2219,True
112,1,16,179.8,0.4422,0.4413,True
112,2,17,218.5,0.3787,0.3631,True
112,3,21,405.7,0.1791,0.1956,True
113,1,16,253.8,0.381,0.3758,True
113,2,17,292.5,0.3263,0.326,True
113,3,21,319.7,0.2927,0.2982,True
114,1,16,282.6,0.3556,0.352,True
114,2,21,293.9,0.3399,0.3385,True
114,3,17,321.3,0.3045,0.3095,True
115,1,16,263.6,0.3641,0.3607,True
115,2,21,292.8,0.324,0.3248,True
115,3,17,302.4,0.3119,0.3145,True
116,1,16,241.3,0.3849,0.3809,True
116,2,17,280.0,0.3296,0.3282,True
116,3,21,316.0,0.2855,0.2909,True
117,1,16,216.5,0.4046,0.4018,True
117,2,17,255.2,0.3466,0.3408,True
117,3,21,338.1,0.2488,0.2573,True
118,1,23,187.0,0.3952,0.3982,True
118,2,48,202.0,0.3723,0.3688,True
118,3,41,319.5,0.2326,0.2331,True
119,1,23,187.5,0.3952,0.3981,True
119,2,48,202.4,0.3723,0.3687,True
119,3,41,320.0,0.2326,0.2332,True
120,1,23,210.1,0.4348,0.4302,True
120,2,48,295.4,0.3092,0.306,True
120,3,41,342.6,0.256,0.2638,True
121,1,48,155.6,0.4848,0.498,True
121,2,23,256.2,0.3243,0.3025,True
121,3,41,388.7,0.1909,0.1994,True
122,1,23,257.0,0.3886,0.378,True
122,2,48,260.8,0.3827,0.3725,True
122,3,41,389.5,0.2287,0.2494,True
123,1,48,283.8,0.373,0.3653,True
123,2,23,304.6,0.3432,0.3403,True
123,3,50,352.2,0.2838,0.2944,True
124,1,50,317.5,0.3427,0.3405,True
124,2,48,317.8,0.3423,0.3402,True
124,3,23,338.6,0.315,0.3193,True
125,1,50,299.2,0.3773,0.3671,True
125,2,48,337.0,0.3243,0.3259,True
125,3,23,357.8,0.2984,0.307,True
126,1,50,276.4,0.4207,0.4007,True
126,2,48,359.5,0.3017,0.3081,True
126,3,23,380.3,0.2776,0.2912,True
127,1,13,321.5,0.3645,0.3562,True
127,2,50,355.5,0.3181,0.3221,True
127,3,23,356.1,0.3174,0.3216,True
128,1,50,327.5,0.3696,0.3592,True
128,2,13,350.8,0.3367,0.3353,True
128,3,23,385.0,0.2937,0.3055,True
129,1,50,226.1,0.5345,0.4897,True
129,2,13,428.0,0.2384,0.2588,True
129,3,48,440.2,0.2271,0.2516,True
130,1,50,258.8,0.4875,0.4475,True
130,2,48,391.5,0.2866,0.2958,True
130,3,23,451.0,0.2259,0.2568,True
131,1,13,356.1,0.352,0.346,True
131,2,50,363.7,0.3414,0.3387,True
131,3,23,390.6,0.3066,0.3153,True
132,1,13,344.8,0.3645,0.3547,True
132,2,50,378.8,0.3181,0.3229,True
132,3,23,379.4,0.3174,0.3224,True
133,1,50,262.0,0.4815,0.4429,True
133,2,48,394.8,0.2831,0.2939,True
133,3,23,440.8,0.2355,0.2632,True
134,1,50,348.9,0.3696,0.3577,True
134,2,13,372.1,0.3367,0.3353,True
134,3,23,406.3,0.2937,0.3071,True
135,1,50,246.6,0.4923,0.455,True
135,2,48,379.3,0.2895,0.2957,True
135,3,23,450.0,0.2182,0.2493,True
136,1,50,264.7,0.4868,0.445,True
136,2,48,397.5,0.2863,0.2964,True
136,3,23,455.6,0.2269,0.2586,True
137,1,11,288.6,0.3449,0.343,True
137,2,52,294.7,0.3366,0.3359,True
137,3,33,308.4,0.3186,0.321,True
138,1,11,256.5,0.3449,0.3442,True
138,2,52,262.5,0.3366,0.3362,True
138,3,33,276.3,0.3186,0.3195,True
139,1,28,263.2,0.4142,0.3966,True
139,2,10,290.2,0.3717,0.3596,True
139,3,16,428.2,0.2141,0.2438,True
140,1,28,280.4,0.4111,0.3916,True
140,2,10,307.4,0.3689,0.3571,True
140,3,6,436.7,0.22,0.2514,True
141,1,28,302.3,0.3943,0.3777,True
141,2,10,329.3,0.3538,0.3467,True
141,3,6,414.2,0.2519,0.2756,True
142,1,28,229.3,0.4142,0.4039,True
142,2,10,256.4,0.3717,0.3612,True
142,3,16,394.3,0.2141,0.2349,True
143,1,28,324.2,0.376,0.3636,True
143,2,10,351.2,0.3374,0.3356,True
143,3,6,392.0,0.2867,0.3007,True
144,1,28,345.3,0.3569,0.3497,True
144,2,6,370.3,0.3229,0.326,True
144,3,10,372.3,0.3203,0.3243,True
145,1,28,353.5,0.3495,0.3444,True
145,2,6,362.6,0.3369,0.3357,True
145,3,10,380.6,0.3136,0.3199,True
146,1,28,239.5,0.4142,0.4015,True
146,2,10,266.6,0.3717,0.3607,True
146,3,16,404.5,0.2141,0.2377,True
147,1,28,342.7,0.3531,0.3472,True
147,2,6,359.6,0.3301,0.3309,True
147,3,10,369.8,0.3169,0.3218,True
148,1,28,279.6,0.3838,0.3737,True
148,2,10,306.7,0.3444,0.3407,True
148,3,16,365.9,0.2718,0.2856,True
149,1,28,312.0,0.378,0.3661,True
149,2,10,339.0,0.3393,0.3369,True
149,3,6,384.6,0.2827,0.297,True
150,1,28,307.4,0.3816,0.3689,True
150,2,10,334.4,0.3424,0.3391,True
150,3,16,388.3,0.276,0.292,True
151,1,28,332.1,0.3643,0.3554,True
151,2,10,359.1,0.3269,0.3286,True
151,3,6,373.4,0.3088,0.316,True
152,1,28,279.1,0.4142,0.3937,True
152,2,10,306.2,0.3717,0.3589,True
152,3,16,444.1,0.2141,0.2474,True
153,1,28,316.0,0.389,0.3728,True
153,2,10,343.1,0.3491,0.3434,True
153,3,16,415.0,0.2619,0.2839,True
154,1,28,333.3,0.3715,0.36,True
154,2,10,360.4,0.3334,0.333,True
154,3,16,390.8,0.2952,0.307,True
155,1,28,355.4,0.3518,0.3459,True
155,2,16,369.6,0.3324,0.3326,True
155,3,10,382.5,0.3157,0.3214,True
156,1,21,263.3,0.3604,0.3576,True
156,2,29,290.9,0.3227,0.3237,True
156,3,16,295.4,0.3169,0.3187,True
157,1,16,169.6,0.4177,0.428,True
157,2,17,208.4,0.3577,0.3484,True
157,3,21,324.7,0.2246,0.2236,True
158,1,21,219.7,0.4032,0.3985,True
158,2,29,247.4,0.361,0.354,True
158,3,16,353.9,0.2358,0.2475,True
159,1,21,260.1,0.3471,0.346,True
159,2,16,263.8,0.3421,0.3412,True
159,3,29,287.8,0.3108,0.3128,True
160,1,21,278.3,0.3471,0.3452,True
160,2,16,282.0,0.3421,0.3408,True
160,3,29,306.0,0.3108,0.314,True
161,1,21,200.0,0.4013,0.4022,True
161,2,29,227.6,0.3593,0.3534,True
161,3,16,329.1,0.2394,0.2444,True
162,1,6,273.5,0.438,0.4066,True
162,2,5,279.1,0.4283,0.3984,True
162,3,31,570.0,0.1338,0.195,True
163,1,6,264.0,0.4453,0.4133,True
163,2,5,274.6,0.4269,0.3973,True
163,3,31,576.1,0.1278,0.1894,True
164,1,6,318.7,0.4466,0.4054,True
164,2,5,336.8,0.4154,0.3836,True
164,3,21,612.5,0.1379,0.211,True
165,1,6,380.8,0.4161,0.3809,True
165,2,5,399.4,0.3862,0.3632,True
165,3,21,566.8,0.1977,0.2559,True
166,1,6,384.4,0.4161,0.3806,True
166,2,5,403.0,0.3862,0.363,True
166,3,21,570.4,0.1977,0.2565,True
167,1,5,444.6,0.3627,0.3491,True
167,2,6,451.0,0.3534,0.3441,True
167,3,22,505.9,0.2838,0.3068,True
168,1,6,447.8,0.3677,0.3515,True
168,2,5,460.8,0.3491,0.3417,True
168,3,21,513.1,0.2832,0.3068,True
169,1,22,447.2,0.3573,0.3462,True
169,2,30,469.6,0.3267,0.3297,True
169,3,5,477.9,0.316,0.324,True
170,1,5,183.2,0.4625,0.4411,True
170,2,6,191.1,0.448,0.4228,True
170,3,49,593.6,0.0895,0.1361,True
171,1,5,246.2,0.4188,0.4003,True
171,2,6,255.6,0.4032,0.3855,True
171,3,49,460.0,0.178,0.2142,True
172,1,5,192.7,0.4213,0.4137,True
172,2,6,202.2,0.4057,0.3943,True
172,3,49,415.2,0.173,0.192,True
173,1,5,179.9,0.4513,0.436,True
173,2,6,189.4,0.4345,0.4142,True
173,3,49,523.4,0.1142,0.1499,True
174,1,5,126.5,0.4533,0.4558,True
174,2,6,136.0,0.4365,0.4241,True
174,3,49,480.1,0.1102,0.1201,True
175,1,22,232.5,0.4598,0.4387,True
175,2,30,316.9,0.3281,0.3219,True
175,3,31,426.0,0.2121,0.2394,True
176,1,22,240.0,0.4598,0.436,True
176,2,30,324.3,0.3281,0.3226,True
176,3,31,433.5,0.2121,0.2414,True
177,1,22,183.0,0.4598,0.4607,True
177,2,30,267.4,0.3281,0.3153,True
177,3,31,376.5,0.2121,0.224,True
178,1,22,214.0,0.4598,0.4459,True
178,2,30,298.4,0.3281,0.3198,True
178,3,31,407.5,0.2121,0.2342,True
179,1,22,259.0,0.4598,0.4298,True
179,2,30,343.3,0.3281,0.3242,True
179,3,31,452.4,0.2121,0.246,True
180,1,22,188.0,0.4598,0.4581,True
180,2,30,272.4,0.3281,0.3162,True
180,3,31,381.5,0.2121,0.2258,True
181,1,22,249.5,0.4598,0.4328,True
181,2,30,333.8,0.3281,0.3234,True
181,3,31,442.9,0.2121,0.2438,True
182,1,22,230.0,0.4598,0.4396,True
182,2,30,314.4,0.3281,0.3216,True
182,3,31,423.5,0.2121,0.2388,True
183,1,22,235.2,0.4598,0.4377,True
183,2,30,319.6,0.3281,0.3221,True
183,3,31,428.7,0.2121,0.2402,True
184,1,22,237.8,0.4598,0.4368,True
184,2,30,322.2,0.3281,0.3224,True
184,3,31,431.3,0.2121,0.2408,True
185,1,13,242.4,0.401,0.394,True
185,2,34,306.6,0.3101,0.3115,True
185,3,37,324.3,0.2889,0.2945,True
186,1,34,234.3,0.3901,0.3859,True
186,2,13,265.7,0.3441,0.3404,True
186,3,9,330.3,0.2657,0.2738,True
187,1,34,504.3,0.4775,0.3944,True
187,2,9,600.3,0.3253,0.3314,True
187,3,51,725.4,0.1972,0.2742,True
188,1,34,153.7,0.4777,0.4938,True
188,2,9,249.7,0.3254,0.304,True
188,3,51,375.4,0.1968,0.2022,True
189,1,34,116.3,0.4777,0.5286,True
189,2,9,212.3,0.3254,0.2896,True
189,3,51,338.0,0.1968,0.1819,True
190,1,34,192.3,0.3504,0.3545,True
190,2,9,210.5,0.3258,0.3239,True
190,3,51,212.0,0.3238,0.3216,True
191,1,34,169.4,0.4062,0.4224,True
191,2,9,247.0,0.2978,0.2897,True
191,3,51,248.5,0.296,0.2879,True
192,1,34,123.6,0.4567,0.5038,True
192,2,9,219.9,0.3106,0.2831,True
192,3,51,292.1,0.2327,0.2131,True
193,1,33,213.1,0.3695,0.3723,True
193,2,11,249.4,0.3195,0.3181,True
193,3,52,256.2,0.311,0.3097,True
194,1,21,113.5,0.4613,0.4847,True
194,2,29,141.2,0.4131,0.3898,True
194,3,16,438.8,0.1256,0.1254,True
195,1,21,91.5,0.4613,0.5031,True
195,2,29,119.1,0.4131,0.3864,True
195,3,16,416.8,0.1256,0.1105,True
196,1,21,69.8,0.4681,0.5318,True
196,2,29,97.4,0.4191,0.381,True
196,3,16,425.5,0.1128,0.0872,True
197,1,33,123.8,0.475,0.5227,True
197,2,12,249.9,0.2869,0.259,True
197,3,11,296.5,0.2381,0.2183,True
198,1,33,180.8,0.4381,0.4464,True
198,2,11,277.6,0.2974,0.2906,True
198,3,12,306.8,0.2646,0.263,True
199,1,12,50.1,0.4603,0.6459,True
199,2,33,168.8,0.2863,0.1917,True
199,3,38,199.4,0.2533,0.1623,True
200,1,33,172.0,0.4665,0.4696,True
200,2,12,244.4,0.3492,0.3305,True
200,3,11,404.1,0.1844,0.1999,True
201,1,33,227.4,0.4234,0.409,True
201,2,12,246.4,0.3925,0.3776,True
201,3,38,435.8,0.184,0.2135,True
202,1,33,224.3,0.4234,0.4097,True
202,2,12,243.3,0.3925,0.3778,True
202,3,38,432.6,0.184,0.2124,True
203,1,12,160.1,0.4066,0.4092,True
203,2,33,162.5,0.4028,0.4033,True
203,3,38,349.5,0.1906,0.1875,True
204,1,12,177.2,0.4066,0.4048,True
204,2,33,179.6,0.4028,0.3995,True
204,3,38,366.6,0.1906,0.1957,True
205,1,33,240.8,0.4234,0.406,True
205,2,12,259.7,0.3925,0.3764,True
205,3,38,449.1,0.184,0.2177,True
206,1,12,126.1,0.4066,0.4199,True
206,2,33,128.5,0.4028,0.4122,True
206,3,38,315.5,0.1906,0.1679,True
207,1,12,126.4,0.4066,0.4198,True
207,2,33,128.8,0.4028,0.4121,True
207,3,38,315.8,0.1906,0.1681,True
208,1,12,119.4,0.4102,0.425,True
208,2,33,121.7,0.4063,0.4167,True
208,3,38,320.6,0.1834,0.1583,True
209,1,12,113.8,0.4102,0.4272,True
209,2,33,116.2,0.4063,0.4185,True
209,3,38,315.0,0.1834,0.1543,True
210,1,33,224.5,0.4665,0.4449,True
210,2,12,297.0,0.3492,0.3364,True
210,3,11,456.6,0.1844,0.2188,True
211,1,33,277.3,0.4372,0.4107,True
211,2,12,349.7,0.3272,0.3256,True
211,3,52,431.9,0.2356,0.2637,True
212,1,33,275.1,0.4372,0.4112,True
212,2,12,347.5,0.3272,0.3255,True
