fid,X,Y,Адрес_clean,Адрес,Численность жителей,Жилая площадь,Население округл,Население норм.,field_9
108,30.51412581,59.91821036,"Областная улица, 9 к1","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Областная ул, 9 к. 1",720,"42151,5",1544,"1544,010989","42151,5"
109,30.50937168,59.91834058,"Областная улица, 5 к1","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Областная ул, 5 к. 1",638,"28758,1",1053,"1053,410256","28758,1"
110,30.50898861,59.9085568,"Пражская улица, 3",,687,"30037,4",1100,"1100,271062","30037,4"
111,30.52106001,59.9113909,"Европейский проспект, 22",,1520,"62361,3",2284,"2284,296703","62361,3"
112,30.51773883,59.92096566,"проспект Строителей, 3",,380,"16094,5",590,"589,5421245","16094,5"
113,30.50923698,59.91793007,"Областная улица, 5 к3","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Областная ул, 5 к. 3",200,"8352,3",306,"305,9450549","8352,3"
114,30.50814005,59.91781651,"Областная улица, 5 к2","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Областная ул, 5 к. 2",93,"4049,1",148,"148,3186813","4049,1"
115,30.52065394,59.91864155,"Солнечная улица, 12",,403,"15418,1",565,"564,7655678","15418,1"
116,30.50816461,59.90945419,"Центральная улица, 8",,,"14899,45",546,"545,7673993","14899,45"
117,30.51926015,59.92370943,"проспект Строителей, 1 к2",,,"14899,45",546,"545,7673993","14899,45"
118,30.51833596,59.92252535,"проспект Строителей, 1 к1",,767,"32320,2",1184,"1183,89011","32320,2"
119,30.52339488,59.91995326,"Солнечная улица, 10 к1",,,"14899,45",546,"545,7673993","14899,45"
120,30.52146957,59.92312577,"Солнечная улица, 2",,,"14899,45",546,"545,7673993","14899,45"
121,30.52407021,59.92223414,"Солнечная улица, 4",,,"14899,45",546,"545,7673993","14899,45"
122,30.50710582,59.90422799,"Центральная улица, 30 к2",,,"14899,45",546,"545,7673993","14899,45"
123,30.51991049,59.91987755,"проспект Строителей, 5 к1",,479,"17819,6",653,"652,7326007","17819,6"
124,30.51882565,59.91949236,"проспет Строителей, 5",,479,"17791,5",652,"651,7032967","17791,5"
125,30.52165991,59.91943627,"Солнечная улица, 10к2",,,"14899,45",546,"545,7673993","14899,45"
